STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
CALIFORNIA,Farmersville Unified School District,600035,600035,113,6,2423,12,6,1,4771,62,128,86,28,136
CALIFORNIA,Alameda City Unified School District,601770,601770,3307,931,1901,3823,33,1206,1066,15,39,66,2,9
CALIFORNIA,Scotts Valley Unified School District,600043,600043,1784,8,346,103,9,255,371,6,10,3,1,2
CALIFORNIA,Manhattan Beach Unified School District,600025,600025,4202,126,807,721,6,914,888,19,39,4,9,5
CALIFORNIA,Redondo Beach Unified School District,600032,600032,4581,417,2284,1148,24,1334,302,1,16,1,1,0
CALIFORNIA,Azusa Unified School District,603600,603600,302,117,8099,188,19,57,5682,142,435,196,25,159
CALIFORNIA,Bassett Unified School District,604110,604110,42,28,3444,169,6,0,7824,447,490,706,42,405
CALIFORNIA,Covina-Valley Unified School District,610050,610050,1141,324,8961,1036,36,412,1107,17,71,11,2,19
CALIFORNIA,Duarte Unified School District,611520,611520,375,150,2627,309,23,249,1464,13,44,11,3,37
CALIFORNIA,Washington Unified School District,601415,601415,227,235,2200,245,48,43,214,0,3,1,18,2
CALIFORNIA,Santa Barbara Unified School District,601414,601414,5129,157,9029,611,77,182,4918,61,183,115,11,209
CALIFORNIA,Chawanakee Unified School District,600116,600116,668,18,207,14,109,38,304,1,101,0,2,1
CALIFORNIA,El Rancho Unified School District,612180,612180,84,23,8558,73,4,12,786,4,29,0,2,13
CALIFORNIA,Long Beach Unified School District,622500,622500,10090,10157,43148,9246,152,3635,424,747,125,199,7,112
CALIFORNIA,Montebello Unified School District,625470,625470,299,74,26222,621,54,128,1557,176,527,47,18,121
CALIFORNIA,Palos Verdes Peninsula Unified School District,629700,629700,5480,266,1390,3466,26,800,3357,134,376,492,18,182
CALIFORNIA,Paramount Unified School District,629850,629850,182,1181,13617,287,13,125,2014,76,330,136,18,90
CALIFORNIA,San Marino Unified School District,634860,634860,733,19,217,1833,3,269,1192,9,15,7,7,24
CALIFORNIA,South Pasadena Unified School District,637500,637500,1348,86,1148,1684,12,501,340,3,8,0,19,10
CALIFORNIA,Hacienda La Puente Unified School District,616325,616325,619,180,15024,2882,19,159,1240,15,23,6,18,49
CALIFORNIA,Pasadena Unified School District,629940,629940,3274,2382,10833,1278,59,584,452,10,19,4,79,12
CALIFORNIA,Southern Humboldt Joint Unified School District,637590,637590,559,8,112,15,12,41,1869,62,338,111,10,112
CALIFORNIA,Hayward Unified School District,616740,616740,1252,2086,14644,4120,71,749,4773,262,894,486,34,149
CALIFORNIA,Livermore Valley Joint Unified School District,622110,622110,6894,222,4262,1456,47,1135,693,78,265,27,20,44
CALIFORNIA,Lucia Mar Unified School District,623080,623080,5208,76,4624,305,50,386,1403,284,173,260,5,36
CALIFORNIA,San Luis Coastal Unified School District,634800,634800,4601,67,2199,449,29,373,657,12,26,12,4,6
CALIFORNIA,Alpaugh Unified School District,602010,602010,213,16,501,15,4,44,1031,10,135,5,3,15
CALIFORNIA,Biggs Unified School District,605040,605040,348,13,231,15,5,5,1143,9,57,10,5,29
CALIFORNIA,Durham Unified School District,611730,611730,725,5,200,3,11,42,986,2,54,11,0,25
CALIFORNIA,North Monterey County Unified School District,627590,627590,611,15,3852,71,12,52,318,2,10,2,0,12
CALIFORNIA,Shandon Joint Unified School District,636450,636450,63,4,226,1,0,16,928,10,77,4,2,29
CALIFORNIA,Hilmar Unified School District,617220,617220,1300,10,1030,21,15,27,2303,187,607,46,26,61
CALIFORNIA,Los Banos Unified School District,622740,622740,1372,191,8755,290,51,126,2311,259,159,180,4,122
CALIFORNIA,Amador County Unified School District,602450,602450,2652,23,780,63,101,245,2014,158,884,278,22,170
CALIFORNIA,Moorpark Unified School District,625690,625690,2719,85,2983,398,8,279,200,0,4,0,0,5
CALIFORNIA,Ojai Unified School District,628270,628270,1498,19,894,47,14,65,1194,9,99,17,11,26
CALIFORNIA,Dublin Unified School District,600019,600019,2560,365,1279,5551,26,899,286,2,4,2,0,10
CALIFORNIA,Pleasanton Unified School District,600020,600020,6330,201,1467,6053,23,704,1308,64,37,42,3,60
CALIFORNIA,Sunol Glen Unified School District,600021,600021,123,3,57,58,1,36,248,3,1,2,1,1
CALIFORNIA,Calaveras Unified School District,606870,606870,2124,20,554,43,49,143,373,0,11,4,3,7
CALIFORNIA,Newman-Crows Landing Unified School District,627200,627200,546,55,2285,43,4,70,279,2,17,1,79,25
CALIFORNIA,Milpitas Unified School District,624500,624500,621,218,2089,6922,37,373,154,0,15,0,117,56
CALIFORNIA,Patterson Joint Unified School District,630030,630030,741,351,4446,330,26,189,2816,34,86,79,9,64
CALIFORNIA,Albany City Unified School District,601860,601860,1368,117,603,1087,5,522,1182,5,63,4,13,57
CALIFORNIA,Berkeley Unified School District,604740,604740,3868,1667,2473,836,16,1379,333,1,13,3,78,48
CALIFORNIA,Brea-Olinda Unified School District,605880,605880,1972,96,2150,1503,10,178,1186,77,76,8,17,71
CALIFORNIA,Laguna Beach Unified School District,620370,620370,2317,34,316,168,12,178,1125,40,47,17,3,39
CALIFORNIA,Los Alamitos Unified School District,622590,622590,4777,275,2513,1625,21,693,130,1,5,1,7,2
CALIFORNIA,Newport-Mesa Unified School District,627240,627240,9633,198,9668,1282,40,760,3461,24,235,70,6,150
CALIFORNIA,Placentia-Yorba Linda Unified School District,630660,630660,9478,342,10760,4422,54,742,3298,29,113,43,81,108
CALIFORNIA,Tustin Unified School District,640150,640150,6463,457,11275,5028,44,863,2720,94,158,104,153,155
CALIFORNIA,Ferndale Unified School District,600037,600037,365,3,116,5,21,3,780,9,44,8,1,6
CALIFORNIA,Eureka City Unified School District,600052,600052,1805,96,817,479,212,358,703,2,36,2,0,7
CALIFORNIA,Klamath-Trinity Joint Unified School District,619950,619950,94,5,48,5,819,28,431,4,5,2,0,8
CALIFORNIA,Mattole Unified School District,600038,600038,526,6,99,3,24,79,613,3,17,45,9,9
CALIFORNIA,Orange Unified School District,628650,628650,8175,362,15693,3390,55,847,3625,16,203,59,11,106
CALIFORNIA,Mariposa County Unified School District,623940,623940,1266,10,334,27,75,132,3634,63,251,361,9,92
CALIFORNIA,Lake Elsinore Unified School District,600027,600027,6260,812,12997,756,55,1159,2361,47,173,219,4,146
CALIFORNIA,Alvord Unified School District,602430,602430,2036,721,15177,1036,40,245,736,39,204,22,7,45
