STATENAME,AGENCYNAME,AGENCYID,GEOAGENCYID,SCHOOLID,STUDENTWHITE,STUDENTAFRICANAMERICAN,STUDENTLATINO,STUDENTASIAN,STUDENTNATIVE,STUDENTMULTIRACIAL,TEACHERWHITE,TEACHERAFRICANAMERICAN,TEACHERLATINO,TEACHERASIAN,TEACHERNATIVE,TEACHERMULTIRACIAL
WISCONSIN,MILWAUKEE COLLEGIATE ACADEMY,5500066,5509600,550006602865,0,296,1,0,0,0,559,3,13,2,2,8
WISCONSIN,MILWAUKEE COMMUNITY CYBER HIGH,5509600,5509600,550960002822,21,67,61,0,3,0,678,5,27,40,0,14
WISCONSIN,MILWAUKEE COUNTY YOUTH EDUCATION CENTER,5509600,5509600,550960001306,2,27,4,0,0,1,2438,59,109,373,14,174
WISCONSIN,MILWAUKEE ENVIRONMENTAL SCIENCE ACADEMY,5509600,5509600,550960002949,15,363,4,6,0,1,1064,4,28,6,0,37
WISCONSIN,MILWAUKEE EXCELLENCE CHARTER SCHOOL,5509600,5509600,550960003036,1,83,2,0,0,1,2072,27,136,15,39,75
WISCONSIN,MILWAUKEE FRENCH IMMERSION,5509600,5509600,550960002340,160,346,34,13,1,24,299,2,5,0,20,6
WISCONSIN,MILWAUKEE GERMAN IMMERSION,5509600,5509600,550960001155,416,131,30,10,4,30,663,1,26,23,1,3
WISCONSIN,MILWAUKEE HIGH SCHOOL OF THE ARTS,5509600,5509600,550960002339,116,578,129,79,6,8,887,1,43,1,0,17
WISCONSIN,MILWAUKEE MATH AND SCIENCE ACADEMY,5500067,5509600,550006702898,5,361,11,0,0,0,820,8,15,9,9,11
WISCONSIN,MILWAUKEE PARKSIDE SCHOOL,5509600,5509600,550960002415,249,137,305,67,13,20,585,7,26,3,2,2
WISCONSIN,MILWAUKEE SCHOLARS CHARTER SCHOOL,5500065,5509600,550006502894,4,620,7,16,1,8,516,8,714,1,2,6
WISCONSIN,MILWAUKEE SCHOOL OF LANGUAGES,5509600,5509600,550960001273,305,605,156,76,9,34,145,0,0,1,0,2
